"area","are_km2","endID","mean_m","min_m","max_m","range_m"
5026252.6,5,"H0416",2755.1567218718,2720.09692382812,2786,65.903076171875
26806680.3,26.8,"H0417",2613.70632264672,2411.44921875,2767.72119140625,356.27197265625
9214796.4,9.2,"H0418",1709.8767226404,1411,1842,431
17591883.9,17.6,"H0419",2673.75862732758,2597,2751,154
15916466.4,15.9,"H0420",1627.41663655599,1306.22399902344,1889,582.776000976562
5026252.6,5,"H0421",1639.62980776928,1080,1958,878
7539378.8,7.5,"H0422",2611.54033229662,2529,2694,165
36859185.4,36.9,"H0423",1849.92805370154,1239.71276855469,2088,848.287231445312
20942719,20.9,"H0424",1733.37613004244,1367.93615722656,1932,564.063842773438
2258462815.5,2258.5,"H0425",2130.4421871742,1031,3635,2604
10052505.1,10.1,"H0426",1774.39940767341,1323,2118,795
10052505.1,10.1,"H0427",1880.36971183335,1501,2135,634
5026252.6,5,"H0428",1519.84794895214,1438,1581,143
275606181.9,275.6,"H0429",2145.78215488806,1435,2831,1396
20105010.2,20.1,"H0430",2028.77606000233,1496.4931640625,2489,992.5068359375
39372311.7,39.4,"H0431",1578.350261237,1313,1794,481
6701670.1,6.7,"H0432",2535.24430908203,2180,2690,510
645873453.5,645.9,"H0433",2423.41308826136,1008.31011962891,3330,2321.68988037109
12565631.4,12.6,"H0434",2321.43691101074,2270,2447,177
31832932.9,31.8,"H0435",2033.09319741552,1421,2542,1121
5863961.3,5.9,"H0436",1575.40843756689,1417,1672.4033203125,255.4033203125
6701670.1,6.7,"H0437",1811.18667796065,1394,2357,963
15078757.7,15.1,"H0438",1870.26903845241,1231.5986328125,2496.90893554688,1265.31030273438
16754175.2,16.8,"H0439",1797.70763685015,1392,2075,683
6701670.1,6.7,"H0440",2293.93360565222,1629,2809,1180
12565631.4,12.6,"H0441",2077.32553140219,1438.212890625,2525,1086.787109375
36021476.7,36,"H0442",2425.71312662942,1328,3082,1754
5026252.6,5,"H0443",2251.10796432374,2169,2310,141
569641956.4,569.6,"H0444",1926.18798807548,1292,2499,1207
7539378.8,7.5,"H0445",1888.22919218644,1881,1939.13464355469,58.1346435546875
