"crrdr_d","ID","endID","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs"
"CORR0175","El Rosario","H0148",12425.0004521512,28.4611351414371,4,224.75121735791,5
"CORR0176","Cañón del Sumidero","H0015",804.906497392647,9.45456147882877,2,44.473543417961,1
"CORR0177","Cañón del Sumidero","H0019",804.906497392647,9.06292286807634,2,46.4308179423842,1
"CORR0178","Cañón del Sumidero","H0014",804.906497392647,8.98616982359856,2,46.8716311458783,2
"CORR0179","Cañón del Sumidero","H0017",804.906497392647,8.21009419796338,2,51.2449288920334,1
"CORR0180","Cañón del Sumidero","H0022",804.906497392647,7.73893884884615,2,54.3541368669694,2
"CORR0181","Darién","H0386",9569.99608658187,100,1,47.8660676178748,1
"CORR0182","Darién","H0380",8766.62346502704,100,1,44.085229207306,1
"CORR0183","Darién","H0382",5186.76507393012,100,1,25.9531222179552,1
"CORR0184","Darién","H0390",8707.06431596716,20.7916025161972,4,211.41751784706,3
"CORR0185","Darién","H0398",7864.24371087403,19.7277797880244,3,201.173512538967,2
"CORR0186","Soberanía","H0373",21501.2132234029,57.7959878319125,7,186.330510042216,5
"CORR0187","Soberanía","H0377",32321.0472452829,69.0546503391866,7,234.739694559568,4
"CORR0188","Soberanía","H0377",32321.0472452829,68.6987525665435,7,235.942548724556,4
"CORR0189","Soberanía","H0372",32611.6707488584,65.9215434192857,7,248.218535611786,4
"CORR0190","Soberanía","H0375",32611.6707488584,65.2218904775009,7,250.854407429598,4
"CORR0191","Palenque","H0008",518.789755832136,4.05627733267242,1,66.1709127898599,1
"CORR0192","Palenque","H0005",539.61929209584,3.37317394158721,2,83.0113333667232,2
"CORR0193","Palenque","H0010",518.789755832136,3.66764234057913,1,73.2352756363626,2
"CORR0194","Palenque","H0011",518.789755832136,3.55343368141404,1,75.6122713137382,2
"CORR0195","Palenque","H0013",518.789755832136,3.48340702891383,1,77.1276166233345,2
"CORR0196","Internacional La Amistad","H0360",4475.08523867888,44.7504584135991,3,49.9803768537838,3
"CORR0197","Internacional La Amistad","H0369",2308.09340916807,53.785187180464,1,21.4097805788616,3
