ID,endID,crrdr_d,focal_pa_area_sqkm,focal_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,StartNode_areakm2,StartNode_elevrange_m
Tikal National Park,H0134,CORR2273,29642.66455,38.41553695,8,395.2261615,5,71.37520838,24.28748703,119.3871307,558.7028137,68.06897736,1890,1821.931023,2,"BLZ, GTM",Guatemala,GTM,39.4,616,5.470433981,109
Tikal National Park,H0176,CORR2274,34307.35275,52.35612384,11,335.2644657,5,73.53009918,24.28748703,126.2290726,385.8471994,3,1609,1606,2,"BLZ, GTM",Guatemala,GTM,5,581,5.470433981,109
Tikal National Park,H0148,CORR2275,29642.66455,40.21047858,8,377.3919582,5,70.16262141,24.28748703,120.0671234,520.7010981,68.06897736,1772.581177,1704.512199,2,"BLZ, GTM",Guatemala,GTM,5.9,435,5.470433981,109
Tikal National Park,H0124,CORR2271,29642.66455,39.51259032,8,384.1806254,5,70.91042389,24.28748703,114.5543442,530.2184642,68.06897736,1723,1654.931023,2,"BLZ, GTM",Guatemala,GTM,9.2,440,5.470433981,109
Parque Ecologico Jaguaroundi,H0007,CORR1521,0,0,0,182.4471765,3,43.11267971,4.438799858,109.4147491,256.7049527,9,1630,1621,1,MEX,Mexico,MEX,5.9,490,5.528918287,43
Parque Ecologico Jaguaroundi,H0021,CORR1524,0,0,0,199.6916147,3,46.06063138,4.438799858,109.4147491,350.5896331,9,1600,1591,1,MEX,Mexico,MEX,22.6,689,5.528918287,43
Parque Ecologico Jaguaroundi,H0018,CORR1525,0,0,0,202.4553463,3,42.79551617,4.438799858,97.27526855,267.3544379,9,2063.195313,2054.195313,1,MEX,Mexico,MEX,39.4,1127,5.528918287,43
Parque Ecologico Jaguaroundi,H0012,CORR1522,0,0,0,187.9685974,3,43.66460455,4.438799858,109.4147491,297.1717753,9,1850,1841,1,MEX,Mexico,MEX,26.8,616,5.528918287,43
Parque Ecologico Jaguaroundi,H0029,CORR1523,0,0,0,202.8853824,3,44.67431871,4.438799858,109.4147491,332.5394797,9,1743,1734,1,MEX,Mexico,MEX,114.8,690.161499,5.528918287,43
Castulo,H0216,CORR1146,11852.21572,50.59681806,9,119.4646427,3,61.89792715,10.05439663,98.54673004,554.35568,1,2164,2163,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.567555751,51
Castulo,H0216,CORR1147,12244.00139,51.40950545,9,121.4598288,3,62.14533521,10.05439663,98.54673004,575.8926029,1,2140.258057,2139.258057,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.567555751,51
Castulo,H0220,CORR1150,9658.462042,40.70467248,15,121.2648826,3,79.49148539,18.87491226,126.2290726,466.568098,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,5.567555751,51
Castulo,H0135,CORR1149,13063.80118,59.89364045,7,111.1936154,3,67.30152519,7.277805328,107.2269897,354.2092891,3,2007,2004,2,"GTM, HND",Guatemala,GTM,36,911.2108154,5.567555751,51
Castulo,H0176,CORR1148,6227.481672,32.12322481,11,99.03675172,3,78.95231504,18.87491226,126.2290726,291.3517832,3,1609,1606,1,GTM,Guatemala,GTM,5,581,5.567555751,51
Semuc Champey,H0175,CORR0472,2722.982809,31.72720448,3,43.9281945,1,77.67188244,36.58946991,135.9039001,1357.067103,400.3370361,2475,2074.662964,1,GTM,Guatemala,GTM,9.2,876.413208,5.747561853,327.3684387
Semuc Champey,H0220,CORR0474,737.6928829,7.098885503,1,53.2650173,2,71.29824048,15.72962856,128.6184998,843.2635996,68,2300.064697,2232.064697,1,GTM,Guatemala,GTM,753.9,1763,5.747561853,327.3684387
Semuc Champey,H0220,CORR0473,1477.65774,14.37666027,2,52.75376961,2,71.3388601,29.4438076,108.8372421,1050.477311,210,2003.754883,1793.754883,1,GTM,Guatemala,GTM,753.9,1763,5.747561853,327.3684387
Semuc Champey,H0220,CORR0475,3110.821244,28.43796114,4,56.13216862,2,79.82436604,35.43605804,135.9039001,1207.481278,370,2475,2105,1,GTM,Guatemala,GTM,753.9,1763,5.747561853,327.3684387
Semuc Champey,H0145,CORR0471,2386.853588,52.03123059,2,23.4271747,1,71.99690938,36.58946991,108.8372421,1401.147737,400.3370361,2463,2062.662964,1,GTM,Guatemala,GTM,5,547,5.747561853,327.3684387
El Socorro,H0335,CORR2248,512.9451463,2.155334986,1,121.3487885,0,47.91421328,6.932655334,107.8165054,843.2885115,160.4769135,1824,1663.523087,2,"HND, SLV",El Salvador,SLV,25.1,454,5.769075548,181
El Socorro,H0340,CORR2246,512.9451463,3.418943299,1,76.35637678,0,36.11984235,6.250845432,69.47124481,574.5695803,160.4769135,1699,1538.523087,2,"HND, SLV",El Salvador,SLV,5,431.7313232,5.769075548,181
El Socorro,H0332,CORR2250,512.9451463,2.1021816,1,124.442293,0,46.75518113,6.932655334,103.8193207,861.7759378,160.4769135,1802,1641.523087,2,"HND, SLV",El Salvador,SLV,7.5,262.7845459,5.769075548,181
El Socorro,H0338,CORR2247,4500.869513,21.50929851,3,106.5002059,0,46.84097243,6.250845432,114.2887573,888.6964049,160.4769135,1922,1761.523087,2,"HND, SLV",El Salvador,SLV,10.1,500,5.769075548,181
El Socorro,H0346,CORR2249,648.29832,2.759724918,3,119.8556512,1,54.17360922,4.74343729,102.8655777,533.3172633,42,2016,1974,1,SLV,El Salvador,SLV,8.4,826,5.769075548,181
Santa Clara,H0346,CORR1026,490.0986106,4.028682317,1,62.09440272,1,44.02593804,5.60057354,93.72127533,471.6895966,10,2016,2006,1,SLV,El Salvador,SLV,8.4,826,5.846985883,15
Santa Clara,H0344,CORR1027,918.4886848,4.58973857,3,102.235908,1,46.33877527,5.60057354,80.39230347,712.7268307,10,1845.994995,1835.994995,1,SLV,El Salvador,SLV,5,608.9749756,5.846985883,15
Santa Clara,H0341,CORR1029,913.4643263,4.041314006,3,115.4857015,1,48.56447248,5.60057354,95.95145416,811.6413573,10,1931,1921,1,SLV,El Salvador,SLV,12.6,669,5.846985883,15
Santa Clara,H0342,CORR1028,974.5501803,4.719938057,3,105.5346736,1,43.63393919,5.60057354,91.39466858,704.9448972,10,2315.718506,2305.718506,1,SLV,El Salvador,SLV,24.3,1018,5.846985883,15
Santa Clara,H0327,CORR1030,4051.122235,14.03365655,3,147.6929192,3,43.1182885,1.519999981,98.10607147,631.4299473,10,1943,1933,2,"HND, SLV",El Salvador,SLV,6.7,733,5.846985883,15
Cuenca del Lago Atitlan,H0260,CORR0550,6078.850471,100,6,31.28386944,1,71.28640907,18.20158195,102.5452347,1690.006534,440,2663.098389,2223.098389,1,GTM,Guatemala,GTM,7.5,1142,5.864352041,118.1391602
Cuenca del Lago Atitlan,H0278,CORR0546,3329.928949,100,3,17.08851956,1,70.92363426,18.20158195,92.76634979,1161.010574,440,2027,1587,1,GTM,Guatemala,GTM,242.9,2159,5.864352041,118.1391602
Cuenca del Lago Atitlan,H0278,CORR0547,4218.261659,95.98949827,5,22.56552433,1,75.67182156,18.20158195,101.7783585,1495.288095,440,2663.098389,2223.098389,1,GTM,Guatemala,GTM,242.9,2159,5.864352041,118.1391602
Cuenca del Lago Atitlan,H0272,CORR0548,3739.067681,100,3,19.20282879,1,76.43473852,18.20158195,103.9047012,1532.025971,440,2949.342529,2509.342529,1,GTM,Guatemala,GTM,29.3,1412,5.864352041,118.1391602
Cuenca del Lago Atitlan,H0275,CORR0549,5764.974752,100,4,29.68080789,1,77.18090345,18.20158195,105.2247467,1568.155449,440,3101.947021,2661.947021,1,GTM,Guatemala,GTM,6.7,801,5.864352041,118.1391602
Matriz Chocon,H0220,CORR1155,8718.39072,38.25857394,12,116.4534659,3,79.69216425,18.87491226,126.2290726,483.6270644,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,5.989478487,71.30253601
Matriz Chocon,H0135,CORR1154,13905.31221,61.38349509,8,115.5186868,3,67.29229238,7.277805328,107.2269897,348.5655377,3,2007,2004,2,"GTM, HND",Guatemala,GTM,36,911.2108154,5.989478487,71.30253601
Matriz Chocon,H0216,CORR1152,12741.18164,52.40310803,13,123.9727671,3,62.2847517,10.05439663,98.54673004,537.2659163,1,2164,2163,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.989478487,71.30253601
Matriz Chocon,H0176,CORR1151,5287.410451,28.66402013,8,94.22533506,3,79.17434189,18.87491226,126.2290726,303.7001911,3,1609,1606,1,GTM,Guatemala,GTM,5,581,5.989478487,71.30253601
Matriz Chocon,H0216,CORR1153,6242.335347,21.57698137,9,147.7595434,4,70.7736495,5.661714077,126.2290726,383.650571,3,2099.957275,2096.957275,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.989478487,71.30253601
Rancho  La Asuncion   con el Area Natural Protegida Yu Balcah,H0006,CORR1534,0,0,0,75.81641644,2,68.69893702,9.793124199,119.5434494,1140.582642,17.8417263,2317,2299.158274,1,MEX,Mexico,MEX,52.8,923.3167725,6.006527743,14
Rancho  La Asuncion   con el Area Natural Protegida Yu Balcah,H0001,CORR1531,0,0,0,54.39474269,2,66.47156622,9.793124199,115.256813,798.527857,17.8417263,2293,2275.158274,1,MEX,Mexico,MEX,5,451,6.006527743,14
Rancho  La Asuncion   con el Area Natural Protegida Yu Balcah,H0003,CORR1533,0,0,0,72.87836837,2,64.61287037,9.793124199,115.256813,1079.173444,17.8417263,2415.91333,2398.071604,1,MEX,Mexico,MEX,5,640,6.006527743,14
