"ID","MAT_mean","MAT_min","MAT_max","MAT_range","MAP_mean","MAP_min","MAP_max","MAP_range","srtm_mean","srtm_min","srtm_max","srtm_range","ISO3","NAME","ORIG_NAME","WDPAID","WDPA_PID"
523,24.9361219406128,24.9328536987305,24.9393901824951,0.00653648376464844,1855.10437011719,1854.72216796875,1855.48657226562,0.764404296875,201.999815368652,192.679626464844,209,16.3203735351562,"GTM","Buenos Aires II","Buenos Aires II",555629284,"555629284"
524,24.5818819999695,24.4563102722168,24.7089996337891,0.252689361572266,1740.40634155273,1725.75061035156,1750.08508300781,24.33447265625,287.071070438982,140,325,185,"GTM","Plancha de Piedra","Plancha de Piedra",555629285,"555629285"
525,25.545072555542,25.545072555542,25.545072555542,0,1766.20617675781,1766.20617675781,1766.20617675781,0,126.046827697754,125,127,2,"GTM","SacPetén","SacPetén",555629286,"555629286"
526,25.2713813781738,25.2713813781738,25.2713813781738,0,1769.48486328125,1769.48486328125,1769.48486328125,0,165.713708060128,153,178,25,"GTM","Txinivakán","Txinivakán",555629287,"555629287"
527,25.4287147521973,25.322717666626,25.5347118377686,0.211994171142578,1748.97473144531,1739.38342285156,1758.56604003906,19.1826171875,134.413436889648,129,138,9,"GTM","Santuario Botánico","Santuario Botánico",555629292,"555629292"
528,25.590841293335,25.531717300415,25.6499652862549,0.118247985839844,1808.60479736328,1779.908203125,1837.30139160156,57.3931884765625,181.294749418894,145.511215209961,211,65.4887847900391,"GTM","Cuevas Actún-Kan","Cuevas Actún-Kan",555629307,"555629307"
529,25.5464992523193,25.5464992523193,25.5464992523193,0,1884.39465332031,1884.39465332031,1884.39465332031,0,196.720494641756,166,215,49,"GTM","El Esfuerzo","El Esfuerzo",555629315,"555629315"
530,25.5858715057373,25.4961585998535,25.7242565155029,0.228097915649414,1846.52348632813,1791.59118652344,1882.80187988281,91.210693359375,174.873864310128,165,184,19,"GTM","La Caridad","La Caridad",555629316,"555629316"
531,25.6406574249268,25.6406574249268,25.6406574249268,0,999.223083496094,999.223083496094,999.223083496094,0,545.270721172464,396.989837646484,690.8994140625,293.909576416016,"GTM","Cerro de Jesús","Cerro de Jesús",107022,"107022"
532,25.3621196746826,25.3621196746826,25.3621196746826,0,2100.88891601562,2100.88891601562,2100.88891601562,0,222.51770807902,218.62532043457,226,7.37467956542969,"GTM","Chuna´a","Chuna´a",107029,"107029"
533,25.3722286224365,25.3722286224365,25.3722286224365,0,2073.80322265625,2073.80322265625,2073.80322265625,0,216.269098917643,213,222.494766235352,9.49476623535156,"GTM","El Mirador","El Mirador",107046,"107046"
534,23.6361608505249,23.6074466705322,23.6648750305176,0.0574283599853516,3296.50622558594,3295.841796875,3297.17065429688,1.328857421875,458.124570148747,449,473.787109375,24.787109375,"GTM","La ENEA","La ENEA",107080,"107080"
535,19.6794625176324,18.1184883117676,21.3852996826172,3.26681137084961,1753.41105143229,1666.21887207031,1797.20629882812,130.987426757812,1334.59350101597,912.263244628906,1645,732.736755371094,"GTM","La Unión","La Unión",107087,"107087"
536,26.2679176330566,26.2679176330566,26.2679176330566,0,873.261779785156,873.261779785156,873.261779785156,0,451.172321955363,383.956726074219,535,151.043273925781,"GTM","Lo de China","Lo de China",107097,"107097"
537,24.8890905380249,24.5457363128662,25.3530883789062,0.807352066040039,2306.9563293457,2259.37573242188,2383.50317382812,124.12744140625,313.38631720443,65,465,400,"GTM","Montaña Chiclera","Montaña Chiclera",107116,"107116"
538,25.4051456451416,25.3713722229004,25.4414463043213,0.0700740814208984,2127.3125,2114.95068359375,2137.52294921875,22.572265625,202.589339131894,191.054000854492,220.015594482422,28.9615936279297,"GTM","Najochón","Najochón",107120,"107120"
539,26.2112223307292,25.9356670379639,26.4857234954834,0.550056457519531,884.40321858724,835.927001953125,929.379150390625,93.4521484375,444.26928396786,307,523,216,"GTM","Niño Dormido","Niño Dormido",107121,"107121"
540,25.5056972503662,25.5056972503662,25.5056972503662,0,1756.49169921875,1756.49169921875,1756.49169921875,0,208.947208545826,205,217,12,"GTM","Nueva Juventud","Nueva Juventud",107122,"107122"
541,25.0470001750522,24.2002811431885,25.7118968963623,1.51161575317383,3187.35450575087,3050.04248046875,3320.63916015625,270.5966796875,268.345967131206,151,431,280,"GTM","Machaquilá","Machaquilá",30613,"30613"
542,27.2180258754358,26.9761695861816,27.5840091705322,0.607839584350586,2429.05404938515,2246.48901367188,2699.35473632812,452.86572265625,5.47915170551463,2,16,14,"GTM","Bocas del Polochic","Bocas del Polochic",102717,"102717"
543,24.5095373229308,24.0291709899902,25.5709457397461,1.54177474975586,3546.37093887665,3432.3212890625,3626.455078125,194.1337890625,355.9675765863,178,468,290,"GTM","Xutilhá","Xutilhá",102926,"102926"
