"ID","endID","crrdr_d","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs","biomass_mean","biomass_min","biomass_max","mean_m","min_m","max_m","range_m","nCountries","Countries","name","iso_a3","are_km2","endnode_elevrange_m","endnode_pct_protected","StartNode_areakm2","StartNode_elevrange_m"
"Altos de Campana","H0377","CORR0093",24048.0567378897,64.4688001092628,4,186.968963779914,3,81.2117380867677,32.5921401977539,119.019073486328,337.475085540719,20,1617,1597,1,"PAN","Panama","PAN",10.9,419.110473632812,0,13.4140681646589,323.906097412109
"Ancient Maya City and Protected Tropical Forests of Calakmul  Campeche","H0048","CORR2291",38346.9406133168,56.5178761589286,8,349.464933408137,3,67.4049971737665,3.88834238052368,110.270202636719,303.811988004437,42,1699.95764160156,1657.95764160156,2,"GTM, MEX","Guatemala","GTM",7.5,704.033447265625,0,3278.5014094433,232
"Ancient Maya City and Protected Tropical Forests of Calakmul  Campeche","H0033","CORR2292",38346.9406133168,54.0062455331711,8,365.918155785677,3,69.1581361872036,3.88834238052368,117.862174987793,360.311942580726,42,1714,1672,2,"GTM, MEX","Guatemala","GTM",5,361,0,3278.5014094433,232
"Ancient Maya City and Protected Tropical Forests of Calakmul  Campeche","H0052","CORR2293",38346.9406133168,56.2217545389899,8,351.34907915621,3,67.3594743934678,3.88834238052368,118.710784912109,305.442238016238,42,1837,1795,2,"GTM, MEX","Guatemala","GTM",5.9,609,0,3278.5014094433,232
"Ancient Maya City and Protected Tropical Forests of Calakmul  Campeche","H0010","CORR2295",39237.0822364543,52.0519513563554,8,388.604381572906,4,69.8292994579753,3.88834238052368,116.799034118652,426.988408080459,42,2098.76049804688,2056.76049804688,2,"GTM, MEX","Mexico","MEX",16.8,765,0,3278.5014094433,232
"Ancient Maya City and Protected Tropical Forests of Calakmul  Campeche","H0013","CORR2294",39237.0822364543,52.8657725801359,8,382.587416458269,4,69.5587981394476,3.88834238052368,116.799034118652,403.354040890239,42,1852,1810,2,"GTM, MEX","Guatemala","GTM",5,572,0,3278.5014094433,232
"Anillo de Cenotes","H0008","CORR2251",55755.8469727686,39.5657370627495,11,724.811900803243,4,70.4470767375797,3.88834238052368,108.266319274902,226.66287401609,11,1833,1822,2,"GTM, MEX","Mexico","MEX",6.7,560,0,2135.97004373325,21
"Anillo de Cenotes","H0011","CORR2254",54639.4153671115,38.282226245134,10,733.885574899983,4,71.6305409531192,3.88834238052368,116.799034118652,271.864513626848,11,1760,1749,2,"GTM, MEX","Mexico","MEX",5,450,0,2135.97004373325,21
"Anillo de Cenotes","H0013","CORR2252",54639.4153671115,38.8409509492156,10,723.219154149243,4,71.4202123463079,3.88834238052368,116.799034118652,252.76947313847,11,1852,1841,2,"GTM, MEX","Mexico","MEX",5,572,0,2135.97004373325,21
"Anillo de Cenotes","H0010","CORR2253",54639.4153671115,38.5231759917915,10,729.23611926388,4,71.552147683629,3.88834238052368,116.799034118652,266.946568370106,11,2098.76049804688,2087.76049804688,2,"GTM, MEX","Mexico","MEX",16.8,765,0,2135.97004373325,21
"Anillo de Cenotes","H0005","CORR2255",54842.0836056833,36.5755879061379,9,771.983013912276,5,70.2801404250147,3.88834238052368,115.579940795898,254.468941628204,11,2433.6806640625,2422.6806640625,2,"GTM, MEX","Mexico","MEX",9.2,1236,0,2135.97004373325,21
"Area Comunitaria Protegida de San Isidro","H0062","CORR1536",4286.3401631865,44.4395332671467,2,51.5953315696655,0,35.6724447267396,10.3352651596069,75.7379608154297,423.068379282568,53,1935,1882,1,"MEX","Mexico","MEX",6.7,657.627685546875,0,26.0051310780176,313
"Area Comunitaria Protegida de San Isidro","H0053","CORR1537",4286.3401631865,32.3250206588206,2,70.9210938435818,1,37.2311826388041,10.3352651596069,73.9094009399414,575.866137387108,53,1733,1680,1,"MEX","Mexico","MEX",37.7,919,0,26.0051310780176,313
"Area Comunitaria Protegida de San Isidro","H0027","CORR1540",4286.3401631865,20.6661810954241,2,111.107477473189,1,36.3656403827265,10.3352651596069,73.9094009399414,684.198172527565,53,2024,1971,1,"MEX","Mexico","MEX",21.8,786,0,26.0051310780176,313
"Area Comunitaria Protegida de San Isidro","H0053","CORR1538",4286.3401631865,31.0311569008051,2,73.8759613967286,1,37.2765746085472,10.3352651596069,73.9094009399414,615.728544266287,53,1773,1720,1,"MEX","Mexico","MEX",37.7,919,0,26.0051310780176,313
"Area Comunitaria Protegida de San Isidro","H0034","CORR1539",4286.3401631865,21.4967758063921,2,106.871238399312,1,35.6039716169569,10.3352651596069,73.9094009399414,635.838574293183,53,1730,1677,1,"MEX","Mexico","MEX",5,547.403442382812,0,26.0051310780176,313
