"ID","endID","crrdr_d","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs","biomass_mean","biomass_min","biomass_max","mean_m","min_m","max_m","range_m","nCountries","Countries","name","iso_a3","are_km2","endnode_elevrange_m","endnode_pct_protected","StartNode_areakm2","StartNode_elevrange_m"
"Tikal National Park","H0145","CORR2272",31403.1293,46.20801744,9,347.6521467,5,70.22965253,13.84011459,103.5185013,463.1290643,68.06897736,2463,2394.931023,2,"BLZ, GTM","Guatemala","GTM",5,547,62.35078751,5.470433981,109
"Tikal National Park","H0134","CORR2273",29636.84264,38.40799203,8,395.2261615,5,71.37520838,24.28748703,119.3871307,558.7028137,68.06897736,1890,1821.931023,2,"BLZ, GTM","Guatemala","GTM",39.4,616,1.170833796,5.470433981,109
"Tikal National Park","H0176","CORR2274",34318.78178,52.37356558,10,335.2644657,5,73.53009918,24.28748703,126.2290726,385.8471994,3,1609,1606,2,"BLZ, GTM","Guatemala","GTM",5,581,0,5.470433981,109
"Tikal National Park","H0148","CORR2275",29636.84264,40.20258113,8,377.3919582,5,70.16262141,24.28748703,120.0671234,520.7010981,68.06897736,1772.581177,1704.512199,2,"BLZ, GTM","Guatemala","GTM",5.9,435,0,5.470433981,109
"Tikal National Park","H0124","CORR2271",29636.84264,39.50482993,8,384.1806254,5,70.91042389,24.28748703,114.5543442,530.2184642,68.06897736,1723,1654.931023,2,"BLZ, GTM","Guatemala","GTM",9.2,440,0,5.470433981,109
"Castulo","H0216","CORR1146",11848.99639,50.58307479,9,119.4646427,3,61.89792715,10.05439663,98.54673004,554.35568,1,2164,2163,2,"GTM, HND","Guatemala","GTM",15.1,824.4211426,100,5.567555751,51
"Castulo","H0216","CORR1147",12240.78205,51.39598826,9,121.4598288,3,62.14533521,10.05439663,98.54673004,575.8926029,1,2140.258057,2139.258057,2,"GTM, HND","Guatemala","GTM",15.1,824.4211426,100,5.567555751,51
"Castulo","H0220","CORR1150",9695.347031,40.86012077,14,121.2648826,3,79.49148539,18.87491226,126.2290726,466.568098,3,1750,1747,1,"GTM","Guatemala","GTM",753.9,1763,11.93223978,5.567555751,51
"Castulo","H0135","CORR1149",13065.00713,59.89916936,7,111.1936154,3,67.30152519,7.277805328,107.2269897,354.2092891,3,2007,2004,2,"GTM, HND","Guatemala","GTM",36,911.2108154,99.97558008,5.567555751,51
"Castulo","H0176","CORR1148",6245.23988,32.21482699,10,99.03675172,3,78.95231504,18.87491226,126.2290726,291.3517832,3,1609,1606,1,"GTM","Guatemala","GTM",5,581,0,5.567555751,51
"Semuc Champey","H0175","CORR0472",2737.724341,31.89896745,3,43.9281945,1,77.67188244,36.58946991,135.9039001,1357.067103,400.3370361,2475,2074.662964,1,"GTM","Guatemala","GTM",9.2,876.413208,1.172625112,5.747561853,327.3684387
"Semuc Champey","H0220","CORR0474",735.3746813,7.076577238,1,53.2650173,2,71.29824048,15.72962856,128.6184998,843.2635996,68,2300.064697,2232.064697,1,"GTM","Guatemala","GTM",753.9,1763,11.93223978,5.747561853,327.3684387
"Semuc Champey","H0220","CORR0473",1474.280562,14.3438025,2,52.75376961,2,71.3388601,29.4438076,108.8372421,1050.477311,210,2003.754883,1793.754883,1,"GTM","Guatemala","GTM",753.9,1763,11.93223978,5.747561853,327.3684387
"Semuc Champey","H0220","CORR0475",3129.22053,28.60616051,4,56.13216862,2,79.82436604,35.43605804,135.9039001,1207.481278,370,2475,2105,1,"GTM","Guatemala","GTM",753.9,1763,11.93223978,5.747561853,327.3684387
"Semuc Champey","H0145","CORR0471",2385.224594,51.99571999,2,23.4271747,1,71.99690938,36.58946991,108.8372421,1401.147737,400.3370361,2463,2062.662964,1,"GTM","Guatemala","GTM",5,547,62.35078751,5.747561853,327.3684387
"El Socorro","H0335","CORR2248",524.0323009,2.201921902,1,121.3487885,0,47.91421328,6.932655334,107.8165054,843.2885115,160.4769135,1824,1663.523087,2,"HND, SLV","El Salvador","SLV",25.1,454,10.46951981,5.769075548,181
"El Socorro","H0340","CORR2246",524.0323009,3.492842727,1,76.35637678,0,36.11984235,6.250845432,69.47124481,574.5695803,160.4769135,1699,1538.523087,2,"HND, SLV","El Salvador","SLV",5,431.7313232,0,5.769075548,181
"El Socorro","H0332","CORR2250",524.0323009,2.147619621,1,124.442293,0,46.75518113,6.932655334,103.8193207,861.7759378,160.4769135,1802,1641.523087,2,"HND, SLV","El Salvador","SLV",7.5,262.7845459,0,5.769075548,181
"El Socorro","H0338","CORR2247",4514.586489,21.57485086,3,106.5002059,0,46.84097243,6.250845432,114.2887573,888.6964049,160.4769135,1922,1761.523087,2,"HND, SLV","El Salvador","SLV",10.1,500,100,5.769075548,181
